link,title,num,letter,hydrogel,sentence,figure,SEM
https://pubs.acs.org/doi/10.1021/acssuschemeng.9b05317,Tunable Biomimetic Hydrogels from Silk Fibroin and Nanocellulose,Figure 1,b,RSF/CNC," is RSF/CNC composite hydrogel, ","=HYPERLINK(""sem/10.1021_acssuschemeng.9b05317\sc9b05317_0001.jpeg"",""sem/10.1021_acssuschemeng.9b05317\sc9b05317_0001.jpeg"")","=HYPERLINK(""sem/10.1021_acssuschemeng.9b05317\SEM"",""sem/10.1021_acssuschemeng.9b05317\SEM"")"
https://pubs.acs.org/doi/10.1021/acssuschemeng.9b05317,Tunable Biomimetic Hydrogels from Silk Fibroin and Nanocellulose,Figure 1,c,RSF/CNF," is RSF/CNF composite hydrogel, and ","=HYPERLINK(""sem/10.1021_acssuschemeng.9b05317\sc9b05317_0001.jpeg"",""sem/10.1021_acssuschemeng.9b05317\sc9b05317_0001.jpeg"")","=HYPERLINK(""sem/10.1021_acssuschemeng.9b05317\SEM"",""sem/10.1021_acssuschemeng.9b05317\SEM"")"
https://pubs.acs.org/doi/10.1021/acssuschemeng.9b05317,Tunable Biomimetic Hydrogels from Silk Fibroin and Nanocellulose,Figure 1,d,RSF/BC, is RSF/BC composite hydrogel.,"=HYPERLINK(""sem/10.1021_acssuschemeng.9b05317\sc9b05317_0001.jpeg"",""sem/10.1021_acssuschemeng.9b05317\sc9b05317_0001.jpeg"")","=HYPERLINK(""sem/10.1021_acssuschemeng.9b05317\SEM"",""sem/10.1021_acssuschemeng.9b05317\SEM"")"
https://pubs.acs.org/doi/10.1021/acssuschemeng.9b05317,Tunable Biomimetic Hydrogels from Silk Fibroin and Nanocellulose,S6.,SEM micrographs scale bar – 1 mm,3D, of 3D printed and equilibrium water swollen   hydrogels; where ,"=HYPERLINK(""sem/10.1021_acssuschemeng.9b05317\supp_5.jpg"",""sem/10.1021_acssuschemeng.9b05317\supp_5.jpg"")","=HYPERLINK(""sem/10.1021_acssuschemeng.9b05317\SEM"",""sem/10.1021_acssuschemeng.9b05317\SEM"")"
https://pubs.acs.org/doi/10.1021/acssuschemeng.9b05317,Tunable Biomimetic Hydrogels from Silk Fibroin and Nanocellulose,S6.,a,"RSF,"," is pristine RSF, ","=HYPERLINK(""sem/10.1021_acssuschemeng.9b05317\supp_5.jpg"",""sem/10.1021_acssuschemeng.9b05317\supp_5.jpg"")","=HYPERLINK(""sem/10.1021_acssuschemeng.9b05317\SEM"",""sem/10.1021_acssuschemeng.9b05317\SEM"")"
https://pubs.acs.org/doi/10.1021/acssuschemeng.9b05317,Tunable Biomimetic Hydrogels from Silk Fibroin and Nanocellulose,S6.,b,RSF/CNC," is RSF/CNC composite, ","=HYPERLINK(""sem/10.1021_acssuschemeng.9b05317\supp_5.jpg"",""sem/10.1021_acssuschemeng.9b05317\supp_5.jpg"")","=HYPERLINK(""sem/10.1021_acssuschemeng.9b05317\SEM"",""sem/10.1021_acssuschemeng.9b05317\SEM"")"
https://pubs.acs.org/doi/10.1021/acssuschemeng.9b05317,Tunable Biomimetic Hydrogels from Silk Fibroin and Nanocellulose,S6.,c,RSF/CNF, is RSF/CNF composite   and ,"=HYPERLINK(""sem/10.1021_acssuschemeng.9b05317\supp_5.jpg"",""sem/10.1021_acssuschemeng.9b05317\supp_5.jpg"")","=HYPERLINK(""sem/10.1021_acssuschemeng.9b05317\SEM"",""sem/10.1021_acssuschemeng.9b05317\SEM"")"
https://pubs.acs.org/doi/10.1021/acssuschemeng.9b05317,Tunable Biomimetic Hydrogels from Silk Fibroin and Nanocellulose,S6.,d,RSF/BC, is RSF/BC composite hydrogels.,"=HYPERLINK(""sem/10.1021_acssuschemeng.9b05317\supp_5.jpg"",""sem/10.1021_acssuschemeng.9b05317\supp_5.jpg"")","=HYPERLINK(""sem/10.1021_acssuschemeng.9b05317\SEM"",""sem/10.1021_acssuschemeng.9b05317\SEM"")"
https://pubs.acs.org/doi/10.1021/acsbiomaterials.1c00792,Self-Cross-Linked Hydrogel of Cysteamine-Grafted γ-Polyglutamic Acid Stabilized Tripeptide KPV for Alleviating TNBS-Induced Ulcerative Colitis in Rats,Figure 3,A,SH-PGA KPV/SH-PGA, Macroscopic image of the SH-PGA or KPV/SH-PGA hydrogel left: before self-cross-linking and right: after self-cross-linking; ,"=HYPERLINK(""sem/10.1021_acsbiomaterials.1c00792\ab1c00792_0004.jpeg"",""sem/10.1021_acsbiomaterials.1c00792\ab1c00792_0004.jpeg"")","=HYPERLINK(""sem/10.1021_acsbiomaterials.1c00792\SEM"",""sem/10.1021_acsbiomaterials.1c00792\SEM"")"
https://pubs.acs.org/doi/10.1021/acsbiomaterials.1c00792,Self-Cross-Linked Hydrogel of Cysteamine-Grafted γ-Polyglutamic Acid Stabilized Tripeptide KPV for Alleviating TNBS-Induced Ulcerative Colitis in Rats,Figure 3,B,SH-PGA KPV/SH-PGA, oscillatory frequency sweeps of the SH-PGA or KPV/SH-PGA hydrogel at 0.1% strain; shear-thinning behavior of ,"=HYPERLINK(""sem/10.1021_acsbiomaterials.1c00792\ab1c00792_0004.jpeg"",""sem/10.1021_acsbiomaterials.1c00792\ab1c00792_0004.jpeg"")","=HYPERLINK(""sem/10.1021_acsbiomaterials.1c00792\SEM"",""sem/10.1021_acsbiomaterials.1c00792\SEM"")"
https://pubs.acs.org/doi/10.1021/acsbiomaterials.1c00792,Self-Cross-Linked Hydrogel of Cysteamine-Grafted γ-Polyglutamic Acid Stabilized Tripeptide KPV for Alleviating TNBS-Induced Ulcerative Colitis in Rats,Figure 3,C,SH-PGA, SH-PGA hydrogel and ,"=HYPERLINK(""sem/10.1021_acsbiomaterials.1c00792\ab1c00792_0004.jpeg"",""sem/10.1021_acsbiomaterials.1c00792\ab1c00792_0004.jpeg"")","=HYPERLINK(""sem/10.1021_acsbiomaterials.1c00792\SEM"",""sem/10.1021_acsbiomaterials.1c00792\SEM"")"
https://pubs.acs.org/doi/10.1021/acsbiomaterials.1c00792,Self-Cross-Linked Hydrogel of Cysteamine-Grafted γ-Polyglutamic Acid Stabilized Tripeptide KPV for Alleviating TNBS-Induced Ulcerative Colitis in Rats,Figure 3,D,KPV/SH-PGA, KPV/SH-PGA hydrogel; SEM images of ,"=HYPERLINK(""sem/10.1021_acsbiomaterials.1c00792\ab1c00792_0004.jpeg"",""sem/10.1021_acsbiomaterials.1c00792\ab1c00792_0004.jpeg"")","=HYPERLINK(""sem/10.1021_acsbiomaterials.1c00792\SEM"",""sem/10.1021_acsbiomaterials.1c00792\SEM"")"
https://pubs.acs.org/doi/10.1021/acsbiomaterials.1c00792,Self-Cross-Linked Hydrogel of Cysteamine-Grafted γ-Polyglutamic Acid Stabilized Tripeptide KPV for Alleviating TNBS-Induced Ulcerative Colitis in Rats,Figure 3,E,SH-PGA, SH-PGA hydrogel and ,"=HYPERLINK(""sem/10.1021_acsbiomaterials.1c00792\ab1c00792_0004.jpeg"",""sem/10.1021_acsbiomaterials.1c00792\ab1c00792_0004.jpeg"")","=HYPERLINK(""sem/10.1021_acsbiomaterials.1c00792\SEM"",""sem/10.1021_acsbiomaterials.1c00792\SEM"")"
https://pubs.acs.org/doi/10.1021/acsbiomaterials.1c00792,Self-Cross-Linked Hydrogel of Cysteamine-Grafted γ-Polyglutamic Acid Stabilized Tripeptide KPV for Alleviating TNBS-Induced Ulcerative Colitis in Rats,Figure 3,F,KPV/SH-PGA, KPV/SH-PGA hydrogel; and ,"=HYPERLINK(""sem/10.1021_acsbiomaterials.1c00792\ab1c00792_0004.jpeg"",""sem/10.1021_acsbiomaterials.1c00792\ab1c00792_0004.jpeg"")","=HYPERLINK(""sem/10.1021_acsbiomaterials.1c00792\SEM"",""sem/10.1021_acsbiomaterials.1c00792\SEM"")"
https://pubs.acs.org/doi/10.1021/acsbiomaterials.1c00792,Self-Cross-Linked Hydrogel of Cysteamine-Grafted γ-Polyglutamic Acid Stabilized Tripeptide KPV for Alleviating TNBS-Induced Ulcerative Colitis in Rats,Figure 3,G,SH-PGA, adhesive force of SH-PGA hydrogels against the gelatin substrate in comparison to PGA solution or the counterpart alginate/Ca2+ hydrogel.,"=HYPERLINK(""sem/10.1021_acsbiomaterials.1c00792\ab1c00792_0004.jpeg"",""sem/10.1021_acsbiomaterials.1c00792\ab1c00792_0004.jpeg"")","=HYPERLINK(""sem/10.1021_acsbiomaterials.1c00792\SEM"",""sem/10.1021_acsbiomaterials.1c00792\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.9b21659,"Carbon Nanotubes/Hydrophobically Associated Hydrogels as Ultrastretchable, Highly Sensitive, Stable Strain, and Pressure Sensors",Figure 1,d,HAPAAm, the HAPAAm hydrogel and ,"=HYPERLINK(""sem/10.1021_acsami.9b21659\am9b21659_0001.jpeg"",""sem/10.1021_acsami.9b21659\am9b21659_0001.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.9b21659\SEM"",""sem/10.1021_acsami.9b21659\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.9b21659,"Carbon Nanotubes/Hydrophobically Associated Hydrogels as Ultrastretchable, Highly Sensitive, Stable Strain, and Pressure Sensors",Figure 1,e,CNTs/HAPAAm, the CNTs/HAPAAm hydrogel.,"=HYPERLINK(""sem/10.1021_acsami.9b21659\am9b21659_0001.jpeg"",""sem/10.1021_acsami.9b21659\am9b21659_0001.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.9b21659\SEM"",""sem/10.1021_acsami.9b21659\SEM"")"
https://pubs.acs.org/doi/10.1021/acs.macromol.9b01399,Modulation and Characterization of the Double Network Hydrogel Surface-Bulk Transition,Figure 4,1,DN,", the transition zone 2, white dotted line represents the surface–bulk transition, and the DN bulk structure ","=HYPERLINK(""sem/10.1021_acs.macromol.9b01399\ma9b01399_0004.jpeg"",""sem/10.1021_acs.macromol.9b01399\ma9b01399_0004.jpeg"")","=HYPERLINK(""sem/10.1021_acs.macromol.9b01399\SEM"",""sem/10.1021_acs.macromol.9b01399\SEM"")"
https://pubs.acs.org/doi/10.1021/acsbiomaterials.9b01676,"Injectable, Thixotropic, and Multiresponsive Silk Fibroin Hydrogel for Localized and Synergistic Tumor Therapy",Figure 1,c,DOX/Cy7-hydrogel,", initial DOX/Cy7-hydrogel ","=HYPERLINK(""sem/10.1021_acsbiomaterials.9b01676\ab9b01676_0001.jpeg"",""sem/10.1021_acsbiomaterials.9b01676\ab9b01676_0001.jpeg"")","=HYPERLINK(""sem/10.1021_acsbiomaterials.9b01676\SEM"",""sem/10.1021_acsbiomaterials.9b01676\SEM"")"
https://pubs.acs.org/doi/10.1021/acsbiomaterials.9b01676,"Injectable, Thixotropic, and Multiresponsive Silk Fibroin Hydrogel for Localized and Synergistic Tumor Therapy",Figure 1,d,DOX/Cy7-HSF,", DOX/Cy7-HSF shear-thinning solution ","=HYPERLINK(""sem/10.1021_acsbiomaterials.9b01676\ab9b01676_0001.jpeg"",""sem/10.1021_acsbiomaterials.9b01676\ab9b01676_0001.jpeg"")","=HYPERLINK(""sem/10.1021_acsbiomaterials.9b01676\SEM"",""sem/10.1021_acsbiomaterials.9b01676\SEM"")"
https://pubs.acs.org/doi/10.1021/acsbiomaterials.9b01676,"Injectable, Thixotropic, and Multiresponsive Silk Fibroin Hydrogel for Localized and Synergistic Tumor Therapy",Figure 1,e,DOX/Cy7-hydrogel,", and recovery DOX/Cy7-hydrogel with a resting process ","=HYPERLINK(""sem/10.1021_acsbiomaterials.9b01676\ab9b01676_0001.jpeg"",""sem/10.1021_acsbiomaterials.9b01676\ab9b01676_0001.jpeg"")","=HYPERLINK(""sem/10.1021_acsbiomaterials.9b01676\SEM"",""sem/10.1021_acsbiomaterials.9b01676\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.7b17907,Photothermal Nanocomposite Hydrogel Actuator with Electric-Field-Induced Gradient and Oriented Structure,Figure 2,a,GO1N1-E1, SEM images of freeze-dried GO1N1-E1 gradient hydrogel; b–e 2D SAXS images of a GO1N1-E1 hydrogel.,"=HYPERLINK(""sem/10.1021_acsami.7b17907\am-2017-179075_0002.jpeg"",""sem/10.1021_acsami.7b17907\am-2017-179075_0002.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.7b17907\SEM"",""sem/10.1021_acsami.7b17907\SEM"")"
https://pubs.acs.org/doi/10.1021/acsabm.8b00710,Injectable Nano Whitlockite Incorporated Chitosan Hydrogel for Effective Hemostasis,Figure 2,B,nWH," TEM images of the prepared nWH particles, SEM image of the developed ","=HYPERLINK(""sem/10.1021_acsabm.8b00710\mt-2018-007108_0002.jpeg"",""sem/10.1021_acsabm.8b00710\mt-2018-007108_0002.jpeg"")","=HYPERLINK(""sem/10.1021_acsabm.8b00710\SEM"",""sem/10.1021_acsabm.8b00710\SEM"")"
https://pubs.acs.org/doi/10.1021/acsabm.8b00710,Injectable Nano Whitlockite Incorporated Chitosan Hydrogel for Effective Hemostasis,Figure 2,C,2%Ch, 2%Ch and ,"=HYPERLINK(""sem/10.1021_acsabm.8b00710\mt-2018-007108_0002.jpeg"",""sem/10.1021_acsabm.8b00710\mt-2018-007108_0002.jpeg"")","=HYPERLINK(""sem/10.1021_acsabm.8b00710\SEM"",""sem/10.1021_acsabm.8b00710\SEM"")"
https://pubs.acs.org/doi/10.1021/acsabm.8b00710,Injectable Nano Whitlockite Incorporated Chitosan Hydrogel for Effective Hemostasis,Figure 2,D,2%Ch-4%nWH, 2%Ch-4%nWH hydrogel systems.,"=HYPERLINK(""sem/10.1021_acsabm.8b00710\mt-2018-007108_0002.jpeg"",""sem/10.1021_acsabm.8b00710\mt-2018-007108_0002.jpeg"")","=HYPERLINK(""sem/10.1021_acsabm.8b00710\SEM"",""sem/10.1021_acsabm.8b00710\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.1c15052,"Antiliquid-Interfering, Antibacteria, and Adhesive Wearable Strain Sensor Based on Superhydrophobic and Conductive Composite Hydrogel",S1.,SEM image of the PAAm-co-HEMA,-MXene-AgNPs,-MXene-AgNPs hydrogel,"=HYPERLINK(""sem/10.1021_acsami.1c15052\supp_1.jpg"",""sem/10.1021_acsami.1c15052\supp_1.jpg"")","=HYPERLINK(""sem/10.1021_acsami.1c15052\SEM"",""sem/10.1021_acsami.1c15052\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.0c06674,"Multi-Responsive Lanthanide-Based Hydrogel with Encryption, Naked Eye Sensing, Shape Memory, Self-Healing, and Antibacterial Activity",Figure 7,c,"NH42SO4,"," NH42SO4, ","=HYPERLINK(""sem/10.1021_acsami.0c06674\am0c06674_0007.jpeg"",""sem/10.1021_acsami.0c06674\am0c06674_0007.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.0c06674\SEM"",""sem/10.1021_acsami.0c06674\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.0c06674,"Multi-Responsive Lanthanide-Based Hydrogel with Encryption, Naked Eye Sensing, Shape Memory, Self-Healing, and Antibacterial Activity",Figure 7,d,"K2HPO4,"," K2HPO4, and ","=HYPERLINK(""sem/10.1021_acsami.0c06674\am0c06674_0007.jpeg"",""sem/10.1021_acsami.0c06674\am0c06674_0007.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.0c06674\SEM"",""sem/10.1021_acsami.0c06674\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.0c06674,"Multi-Responsive Lanthanide-Based Hydrogel with Encryption, Naked Eye Sensing, Shape Memory, Self-Healing, and Antibacterial Activity",Figure 7,e,Na2CO3, Na2CO3 solutions.,"=HYPERLINK(""sem/10.1021_acsami.0c06674\am0c06674_0007.jpeg"",""sem/10.1021_acsami.0c06674\am0c06674_0007.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.0c06674\SEM"",""sem/10.1021_acsami.0c06674\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.1c12228,Switchable PNIPAm/PPyNT Hydrogel for Smart Supercapacitors: External Control of Capacitance for Pulsed Energy Generation or Prolongation of Discharge Time,Figure 2,A,PPy," SEM image of pristine PPy nanotubes, the inset shows the TEM image of single nanotube; ","=HYPERLINK(""sem/10.1021_acsami.1c12228\am1c12228_0003.jpeg"",""sem/10.1021_acsami.1c12228\am1c12228_0003.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.1c12228\SEM"",""sem/10.1021_acsami.1c12228\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.1c12228,Switchable PNIPAm/PPyNT Hydrogel for Smart Supercapacitors: External Control of Capacitance for Pulsed Energy Generation or Prolongation of Discharge Time,Figure 2,B,PNIPAm/PPyNT, SEM image of the PNIPAm/PPyNT ,"=HYPERLINK(""sem/10.1021_acsami.1c12228\am1c12228_0003.jpeg"",""sem/10.1021_acsami.1c12228\am1c12228_0003.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.1c12228\SEM"",""sem/10.1021_acsami.1c12228\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.1c12228,Switchable PNIPAm/PPyNT Hydrogel for Smart Supercapacitors: External Control of Capacitance for Pulsed Energy Generation or Prolongation of Discharge Time,Figure 2,5%,LED," reversible switching, the top part shows the microscopic images of the composite surface under heating and the bottom part shows collapse of the composite under LED illumination.","=HYPERLINK(""sem/10.1021_acsami.1c12228\am1c12228_0003.jpeg"",""sem/10.1021_acsami.1c12228\am1c12228_0003.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.1c12228\SEM"",""sem/10.1021_acsami.1c12228\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.1c12228,Switchable PNIPAm/PPyNT Hydrogel for Smart Supercapacitors: External Control of Capacitance for Pulsed Energy Generation or Prolongation of Discharge Time,Figure 2,C,IR PNIPAm," IR spectra of the pristine PNIPAm hydrogel, PPyNTs, and PNIPAm/PPyNT ","=HYPERLINK(""sem/10.1021_acsami.1c12228\am1c12228_0003.jpeg"",""sem/10.1021_acsami.1c12228\am1c12228_0003.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.1c12228\SEM"",""sem/10.1021_acsami.1c12228\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.1c12228,Switchable PNIPAm/PPyNT Hydrogel for Smart Supercapacitors: External Control of Capacitance for Pulsed Energy Generation or Prolongation of Discharge Time,Figure 2,D,UV–Vis PPyNT-loaded PNIPAm," UV–Vis spectra of the pristine and PPyNT-loaded PNIPAm hydrogel, the dotted line indicates the central LED wavelength, subsequently used for material triggering; and ","=HYPERLINK(""sem/10.1021_acsami.1c12228\am1c12228_0003.jpeg"",""sem/10.1021_acsami.1c12228\am1c12228_0003.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.1c12228\SEM"",""sem/10.1021_acsami.1c12228\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.1c12228,Switchable PNIPAm/PPyNT Hydrogel for Smart Supercapacitors: External Control of Capacitance for Pulsed Energy Generation or Prolongation of Discharge Time,Figure 2,E,PNIPAm/PPyNT, PNIPAm/PPyNT ,"=HYPERLINK(""sem/10.1021_acsami.1c12228\am1c12228_0003.jpeg"",""sem/10.1021_acsami.1c12228\am1c12228_0003.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.1c12228\SEM"",""sem/10.1021_acsami.1c12228\SEM"")"
https://pubs.acs.org/doi/10.1021/bm4013056,Cellularized Cylindrical Fiber/Hydrogel Composites for Ligament Tissue Engineering,Figure 3,a,PEG, a rolled mesh without a PEG hydrogel and ,"=HYPERLINK(""sem/10.1021_bm4013056\bm-2013-013056_0002.jpeg"",""sem/10.1021_bm4013056\bm-2013-013056_0002.jpeg"")","=HYPERLINK(""sem/10.1021_bm4013056\SEM"",""sem/10.1021_bm4013056\SEM"")"
https://pubs.acs.org/doi/10.1021/bm4013056,Cellularized Cylindrical Fiber/Hydrogel Composites for Ligament Tissue Engineering,Figure 3,b,PEG, a cylindrical composite with a PEG hydrogel.,"=HYPERLINK(""sem/10.1021_bm4013056\bm-2013-013056_0002.jpeg"",""sem/10.1021_bm4013056\bm-2013-013056_0002.jpeg"")","=HYPERLINK(""sem/10.1021_bm4013056\SEM"",""sem/10.1021_bm4013056\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.9b07387,Creating an Interface: Rendering a Double-Network Hydrogel Lubricious via Spontaneous Delamination,Figure 3,a,DN, SEM image of fractured cross section of the delaminated skin layer and the bulk DN hydrogel.,"=HYPERLINK(""sem/10.1021_acsami.9b07387\am-2019-07387r_0005.jpeg"",""sem/10.1021_acsami.9b07387\am-2019-07387r_0005.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.9b07387\SEM"",""sem/10.1021_acsami.9b07387\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.7b09395,pH and Glucose Dual-Responsive Injectable Hydrogels with Insulin and Fibroblasts as Bioactive Dressings for Diabetic Wound Healing,Figure 1,a,"1.6 CSPBA, 0.5 PVA, 0.5 OHC-PEO-CHO",", and 1.6 wt % CSPBA, 0.5 wt % PVA, and 0.5 wt % OHC-PEO-CHO ","=HYPERLINK(""sem/10.1021_acsami.7b09395\am-2017-09395s_0013.jpeg"",""sem/10.1021_acsami.7b09395\am-2017-09395s_0013.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.7b09395\SEM"",""sem/10.1021_acsami.7b09395\SEM"")"
https://pubs.acs.org/doi/10.1021/la8006876,Fabrication of Supramolecular Hydrogels for Drug Delivery and Stem Cell Encapsulation,Figure 6,SEM images of α-CD/MPEG hydrogel DP0,α-CD/MPEG-PCL-MPEG," and α-CD/MPEG-PCL-MPEG hydrogels with different compositions DP1, DP2, and DP3.","=HYPERLINK(""sem/10.1021_la8006876\la-2008-006876_0007.jpeg"",""sem/10.1021_la8006876\la-2008-006876_0007.jpeg"")","=HYPERLINK(""sem/10.1021_la8006876\SEM"",""sem/10.1021_la8006876\SEM"")"
https://pubs.acs.org/doi/10.1021/acsapm.9b00698,Mussel-Inspired Tough Double Network Hydrogel As Transparent Adhesive,Figure 7,"a, e",HA," HA 4-0.3,","=HYPERLINK(""sem/10.1021_acsapm.9b00698\ap9b00698_0007.jpeg"",""sem/10.1021_acsapm.9b00698\ap9b00698_0007.jpeg"")","=HYPERLINK(""sem/10.1021_acsapm.9b00698\SEM"",""sem/10.1021_acsapm.9b00698\SEM"")"
