link,title,gel,modulus,sentence,measurement
https://pubs.acs.org/doi/10.1021/acssuschemeng.9b05317,Tunable Biomimetic Hydrogels from Silk Fibroin and Nanocellulose,"B, RSF, RSF/CNC, RSF/CNF, RSF/BC",compressive,"Figure 5. (A) Tensile and (B) compressive stress–strain curves of equilibrium water-swollen hydrogels. The sample codes are (a) RSF hydrogel, (b) RSF/CNC composite hydrogel, (c) RSF/CNF composite hydrogel, and (d) RSF/BC composite hydrogel.","=HYPERLINK(""sem/10.1021_acssuschemeng.9b05317\sc9b05317_0005.jpeg"",""sem/10.1021_acssuschemeng.9b05317\sc9b05317_0005.jpeg"")"
https://pubs.acs.org/doi/10.1021/acssuschemeng.9b05317,Tunable Biomimetic Hydrogels from Silk Fibroin and Nanocellulose,RSF/nanocellulose,storage,"Furthermore, the obtained shear storage moduli of RSF/nanocellulose composite hydrogels were in the close range of articular cartilage tissue (0.2–2.0 MPa) along with the similar damping characteristics.",0.2–2.0MPa
https://pubs.acs.org/doi/10.1021/acssuschemeng.9b05317,Tunable Biomimetic Hydrogels from Silk Fibroin and Nanocellulose,RSF,young’s,"(59) The pristine RSF hydrogel exhibits a Young’s modulus of ∼2.2 MPa and tensile strength of ∼0.3 MPa, whereas the RSF/nanocellulose composites hydrogels demonstrate significantly higher modulus and strength in the range of 9.4–14.0 and 0.9–1.1 MPa, respectively.",∼2.2MPa
https://pubs.acs.org/doi/10.1021/acssuschemeng.9b05317,Tunable Biomimetic Hydrogels from Silk Fibroin and Nanocellulose,RSF/nanocellulose,tensile,"(59) The pristine RSF hydrogel exhibits a Young’s modulus of ∼2.2 MPa and tensile strength of ∼0.3 MPa, whereas the RSF/nanocellulose composites hydrogels demonstrate significantly higher modulus and strength in the range of 9.4–14.0 and 0.9–1.1 MPa, respectively.",∼0.3MPa
https://pubs.acs.org/doi/10.1021/acssuschemeng.9b05317,Tunable Biomimetic Hydrogels from Silk Fibroin and Nanocellulose,RSF/nanocellulose,young’s,"Moreover, the obtained Young’s moduli of RSF/nanocellulose composite hydrogels were comparable to the modulus of the native femoral artery (∼9 MPa) (60) and greater than that of RSF/graphene oxide composite hydrogel (∼8.0 MPa).",∼9MPa
https://pubs.acs.org/doi/10.1021/acssuschemeng.9b05317,Tunable Biomimetic Hydrogels from Silk Fibroin and Nanocellulose,RSF/graphene,young’s,"Moreover, the obtained Young’s moduli of RSF/nanocellulose composite hydrogels were comparable to the modulus of the native femoral artery (∼9 MPa) (60) and greater than that of RSF/graphene oxide composite hydrogel (∼8.0 MPa).",∼8.0MPa
https://pubs.acs.org/doi/10.1021/acssuschemeng.9b05317,Tunable Biomimetic Hydrogels from Silk Fibroin and Nanocellulose,RSF,compressive,"The pristine RSF hydrogel exhibited a compression modulus of ∼1.3 MPa and strength of ∼0.3 MPa, whereas the RSF/nanocellulose composite hydrogels demonstrated significantly higher modulus and strength in the range of 2.7–3.6 and 0.5–0.7 MPa, respectively.",∼1.3MPa
https://pubs.acs.org/doi/10.1021/acssuschemeng.9b05317,Tunable Biomimetic Hydrogels from Silk Fibroin and Nanocellulose,RSF/nanocellulose,compressive,"The pristine RSF hydrogel exhibited a compression modulus of ∼1.3 MPa and strength of ∼0.3 MPa, whereas the RSF/nanocellulose composite hydrogels demonstrated significantly higher modulus and strength in the range of 2.7–3.6 and 0.5–0.7 MPa, respectively.",∼0.3MPa
https://pubs.acs.org/doi/10.1021/acssuschemeng.9b05317,Tunable Biomimetic Hydrogels from Silk Fibroin and Nanocellulose,RSF/nanocellulose,compressive,The compression moduli of RSF/nanocellulose composite hydrogels were comparable to human medial meniscus tissue (0.32–1.04 MPa) (64) and significantly higher than the human lumbar spinal disc annulus fibers (0.075–0.11 MPa).,0.32–1.04MPa
https://pubs.acs.org/doi/10.1021/acssuschemeng.9b05317,Tunable Biomimetic Hydrogels from Silk Fibroin and Nanocellulose,"CNC, CNF, BC, CNC","modulus, elastic","S1 (A) shows the XRD pattern of cellulose nanocrystals (CNC), cellulose nanofibers   (CNF) and bacterial nanocellulose (BC). The cellulose I characteristics peaks were observed   at 2θ = 15.0°, 16.5°, 20.5° and 22.5°, which corresponds to planes (1̅10), (110), (102) and   (200), respectively. Conversely, the cellulose II characteristics peaks were observed at 2θ =   12.5° and 20.0°, which corresponds to planes (1̅10) and (110), respectively.1 Cellulose I, which   is the native form of cellulose has the highest axial elastic modulus, whereas cellulose II is   generally formed by regeneration.2 The XRD data of CNC was deconvoluted with Gaussian   curve fitting (","=HYPERLINK(""sem/10.1021_acssuschemeng.9b05317\supp_1.jpg"",""sem/10.1021_acssuschemeng.9b05317\supp_1.jpg"")"
https://pubs.acs.org/doi/10.1021/acssuschemeng.9b05317,Tunable Biomimetic Hydrogels from Silk Fibroin and Nanocellulose,"RSF, B, RSF/CNC, C, RSF/CNF, RSF/BC",shear,"S4. Experimental and theoretical (power law) fit of viscosity versus shear rate data of   (A) pristine RSF, (B) RSF/CNC composite, (C) RSF/CNF composite and (D) RSF/BC   composite inks.    ","=HYPERLINK(""sem/10.1021_acssuschemeng.9b05317\supp_4.jpg"",""sem/10.1021_acssuschemeng.9b05317\supp_4.jpg"")"
https://pubs.acs.org/doi/10.1021/acssuschemeng.9b05317,Tunable Biomimetic Hydrogels from Silk Fibroin and Nanocellulose,"RSF, RSF/nanocellulose",rheology,S5. Dynamic oscillatory photocuring rheology showing crosslinking reaction kinetics   of pristine RSF and RSF/nanocellulose composite inks. The lamp was turned on at 100 sec.      ,"=HYPERLINK(""sem/10.1021_acssuschemeng.9b05317\supp_5.jpg"",""sem/10.1021_acssuschemeng.9b05317\supp_5.jpg"")"
https://pubs.acs.org/doi/10.1021/acssuschemeng.9b05317,Tunable Biomimetic Hydrogels from Silk Fibroin and Nanocellulose,"RSF, RSF/nanocellulose, RSF, RSF/CNC, RSF/CNF, RSF/BC, RSF, RSF/BC, RSF/CNF, RSF/CNC, RSF/BC, RSF/CNC, RSF/CNF, RSF, RSF/BC, RSF/CNF, RSF/CNC, RSF, RSF/CNF, RSF/BC, RSF, RSF/CNC, 3D, RSF/CNC, RSF/BC, RSF, RSF/CFC, ,, ,, ,, ,, ,, ,, ,, 3, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 3, ,, ,, ,, ,, ,, ,, ,, 3, ,","modulus, storage"," S7      TABLES   Table S1. Estimated flow parameters of pristine RSF and RSF/nanocellulose composite inks.   Sample K n R2   RSF 0.94 0.05 0.99   RSF/CNC 109.92 0.12 0.96   RSF/CNF 4895.05 0.23 0.99   RSF/BC 182073.72 0.34 0.98      Table S2.  Overall order of the properties of fabricated biomimetic hydrogel systems.    Property Sample order   Inter-hydrophobic domain distance RSF &gt; RSF/BC &gt; RSF/CNF &gt; RSF/CNC   Water uptake   Shear storage modulus  RSF/BC &gt; RSF/CNC &gt; RSF/CNF &gt; RSF   Young’s Modulus   Tensile toughness RSF/BC &gt; RSF/CNF&gt; RSF/CNC &gt; RSF   Compression Modulus   Energy dissipation   Biocompatibility RSF/CNF &gt; RSF/BC &gt; RSF &gt; RSF/CNC   3D printability RSF/CNC &gt; RSF/BC &gt; RSF &gt; RSF/CFC      REFERENCES   (1) Novo, L. P.; Bras, J.; García, A.; Belgacem, N.; Curvelo, A. A. S., Subcritical Water:   A Method for Green Production of Cellulose Nanocrystals. ACS Sustainable Chem. Eng. 2015,   3, 2839-2846.   (2) Moon, R. J.; Martini, A.; Nairn, J.; Simonsen, J.; Youngblood, J., Cellulose   nanomaterials review: structure, properties and nanocomposites. Chem. Soc. Rev. 2011, 40,   3941-3994.   (3) Park, S.; Baker, J. O.; Himmel, M. E.; Parilla, P. A.; Johnson, D. K., Cellulose   crystallinity index: measurement techniques and their impact on interpreting cellulase   performance. Biotechnol. Biofuels 2010, 3, 10.    ","=HYPERLINK(""sem/10.1021_acssuschemeng.9b05317\supp_6.jpg"",""sem/10.1021_acssuschemeng.9b05317\supp_6.jpg"")"
https://pubs.acs.org/doi/10.1021/acsbiomaterials.1c00792,Self-Cross-Linked Hydrogel of Cysteamine-Grafted γ-Polyglutamic Acid Stabilized Tripeptide KPV for Alleviating TNBS-Induced Ulcerative Colitis in Rats,"A, SH-PGA, KPV/SH-PGA, SH-PGA, KPV/SH-PGA, SH-PGA, KPV/SH-PGA, SH-PGA, KPV/SH-PGA, G, SH-PGA, PGA",shear,Figure 3. (A) Macroscopic image of the SH-PGA or KPV/SH-PGA hydrogel (left: before self-cross-linking and right: after self-cross-linking); (B) oscillatory frequency sweeps of the SH-PGA or KPV/SH-PGA hydrogel at 0.1% strain; shear-thinning behavior of (C) SH-PGA hydrogel and (D) KPV/SH-PGA hydrogel; SEM images of (E) SH-PGA hydrogel and (F) KPV/SH-PGA hydrogel; and (G) adhesive force of SH-PGA hydrogels against the gelatin substrate in comparison to PGA solution or the counterpart alginate/Ca2+ hydrogel.,"=HYPERLINK(""sem/10.1021_acsbiomaterials.1c00792\ab1c00792_0004.jpeg"",""sem/10.1021_acsbiomaterials.1c00792\ab1c00792_0004.jpeg"")"
https://pubs.acs.org/doi/10.1021/acsami.9b21659,"Carbon Nanotubes/Hydrophobically Associated Hydrogels as Ultrastretchable, Highly Sensitive, Stable Strain, and Pressure Sensors","CNTs/HAPAAm, CNTs/HAPAAm, CNTs, CNTs0.5/HAPAAm, CNTs/HAPAAm, CNTs, CNTs0.5/HAPAAm","compressive, tensile",Figure 3. Mechanical properties of the CNTs/HAPAAm hydrogels. (a) Tensile stress–strain curves and (b) the corresponding toughness of the CNTs/HAPAAm hydrogels with various CNTs contents. (c) Ten successive cyclic tensile loading–unloading curves of the CNTs0.5/HAPAAm hydrogel. (d) Compressive stress–strain curves and (e) the corresponding compressive stress at 90% strain of the CNTs/HAPAAm hydrogels with different CNTs contents. (f) Ten successive cyclic compressive tests of the CNTs0.5/HAPAAm hydrogel.,"=HYPERLINK(""sem/10.1021_acsami.9b21659\am9b21659_0003.jpeg"",""sem/10.1021_acsami.9b21659\am9b21659_0003.jpeg"")"
https://pubs.acs.org/doi/10.1021/acs.macromol.9b01399,Modulation and Characterization of the Double Network Hydrogel Surface-Bulk Transition,,"modulus, elastic","Figure 3. Effect of surface layer thickness on elastic modulus. (A) The surface layer of 3–4 μm thickness (t) on the DN/Glass hydrogel affects the elastic modulus at the surface (ESurface) (mean ± SD, n = 15–48 technical replicates per symbol), but not the bulk (EBulk). The sample groups SN PAMPS, SN PAAm, DN/Glass, and DN/Si-PET contained sample sizes of n = 3–6 hydrogels per symbol (mean ± SD). (B) Independent tuning of bulk modulus and polymer surface densities (WM1, WM2) by DN hydrogel synthesis.","=HYPERLINK(""sem/10.1021_acs.macromol.9b01399\ma9b01399_0003.jpeg"",""sem/10.1021_acs.macromol.9b01399\ma9b01399_0003.jpeg"")"
https://pubs.acs.org/doi/10.1021/acs.macromol.9b01399,Modulation and Characterization of the Double Network Hydrogel Surface-Bulk Transition,"DN/Glass, DN, DN, DN, DN",compressive,"Figure 4. Control of PAAm layer thickness on the DN/Glass surface from micro-to-macro scale. (A) The second network polymerization setup where the spacer heights (Scheme S1) and the compressive stress regulate the surface layer thickness of the DN hydrogel (PAMPS/PAAm, 1-3-1/2-0.1-0.1). The DN hydrogel SEM cross-sectional view reveals a surface layer with thickness t ≈ 800 μm, with structural details on the PAAm surface layer (1), the transition zone (2, white dotted line represents the surface–bulk transition), and the DN bulk structure (3). (B) Selected electric potential depth profiles of the DN hydrogel at specific positions showing the surface layer thickness gradient. (C) Position profile of surface layer thickness and the corresponding surface potential (ΔΦS) visualized by a blue (strong charged) and red (weak charged) color map (n = 2–5 measurements per position).","=HYPERLINK(""sem/10.1021_acs.macromol.9b01399\ma9b01399_0004.jpeg"",""sem/10.1021_acs.macromol.9b01399\ma9b01399_0004.jpeg"")"
https://pubs.acs.org/doi/10.1021/acs.macromol.9b01399,Modulation and Characterization of the Double Network Hydrogel Surface-Bulk Transition,DN/Glass-C,compressive,S5: Applying compression to the PAMPS hydrogel (P = 50 kPa) during synthesis of the 2nd 772   network to prevent the formation of a surface layer. (A) Applying normal pressure to counteract the 773   osmotic repulsion at the hydrogel-glass interface during the 2nd network synthesis (DN/Glass-C). (B) 774   The compressive stress-strain curves of the PAMPS hydrogel (1-XX1-1) immersed in the AAm solution 775   (2-0.1-0.1) to determining the normal pressure. The compressive stress-strain curves (,"=HYPERLINK(""sem/10.1021_acs.macromol.9b01399\supp_5.jpg"",""sem/10.1021_acs.macromol.9b01399\supp_5.jpg"")"
https://pubs.acs.org/doi/10.1021/acs.macromol.9b01399,Modulation and Characterization of the Double Network Hydrogel Surface-Bulk Transition,"DN/Glass-C, DN/Glass-C","modulus, compressive, tensile","S5) of the 776   1st network hydrogel swollen in 2nd network precursor solution was performed on hydrogel discs of 1 777   cm in diameter and 2 – 3 mm in thickness at a loading strain of 10 %/min using a tensile-compressive 778   mechanical tester (Tensilon RTC-1310A, Orientic Co.). (C) The ATR/FT-IR spectra of the DN/Glass-C 779   hydrogels (1- XX1-1/2-0.1-0.1) with varied 1st network crosslinker concentration XX1. The peak intensity 780   ratio between the PAMPS (1042 cm-1) and the PAAm (1640 cm-1) reveals the surface polymer 781   composition of the DN/Glass-C hydrogels. To choose a proper compressive pressure, the compressive 782   stress-strain behavior of PAMPS hydrogels, immersed in AAm solution, was studied for various 783   crosslinking degrees (XX1) of the PAMPS hydrogels. The compressive stress and fracture stress 784   increased but the fracture strain decreased with increasing 1st network crosslinking (B). The weakest 785   PAMPS hydrogel, with 1.5 mol% crosslinker, fractured at around 120 kPa. To make sure that the 1st 786   network is compressed but does not fracture during the 2nd network polymerization, we applied to 787   each differently crosslinked PAMPS hydrogel a compression of 50 kPa. This overall compression of 50 788   kPa is low compared to the bulk modulus of these highly crosslinked SN hydrogels which is in the range 789   of 100 ~ 1000 kPa but in each ATR/FT-IR spectrum both peaks at 1042 and 1640 cm-1, representing the 790   1st and the 2nd network respectively, are observable (C). 791    792    ","=HYPERLINK(""sem/10.1021_acs.macromol.9b01399\supp_5.jpg"",""sem/10.1021_acs.macromol.9b01399\supp_5.jpg"")"
https://pubs.acs.org/doi/10.1021/acsbiomaterials.9b01676,"Injectable, Thixotropic, and Multiresponsive Silk Fibroin Hydrogel for Localized and Synergistic Tumor Therapy","HSF, HSF, DOX/Cy7-hydrogel, DOX/Cy7-HSF, DOX/Cy7-hydrogel, d, DOX/Cy7-HSF, e, DOX/Cy7-hydrogel",shear,"Figure 1. Dynamic morphology and structure of HSF sol–gel system. (a) Morphological images of RSF and HSF solution/hydrogel at different time points. (b) Camera photos before and after the formation of DOX/Cy7-hydrogel. SEM images of the freeze-dried samples: DOX/Cy7-HSF solution (c), initial DOX/Cy7-hydrogel (d), DOX/Cy7-HSF shear-thinning solution (e), and recovery DOX/Cy7-hydrogel with a resting process (f). The corresponding enlarged images are located in the upper right of the SEM images. The scale bars in the original images and partially enlarged images are 100 μm and 500 nm, respectively.","=HYPERLINK(""sem/10.1021_acsbiomaterials.9b01676\ab9b01676_0001.jpeg"",""sem/10.1021_acsbiomaterials.9b01676\ab9b01676_0001.jpeg"")"
https://pubs.acs.org/doi/10.1021/acsbiomaterials.9b01676,"Injectable, Thixotropic, and Multiresponsive Silk Fibroin Hydrogel for Localized and Synergistic Tumor Therapy","HSF, hydrogel, HSF, HSF, hydrogel, DOX/Cy7-hydrogel, HSF, HSF, hydrogel, HSF, hydrogel, d, HSF, hydrogel, e, HSF, HSF, hydrogel, g","rheology, modulus, shear","Figure 2. Rheological characteristics of HSF hydrogel. Dynamic optical absorption spectra in the HSF sol–gel transition (a) and the gelation time of blank HSF hydrogel and DOX/Cy7-hydrogel with various concentrations (b). Data are expressed as mean ± SEM (n = 3; ns = no significance, *p < 0.05, and **p < 0.01; Student’s t-test). Storage modulus (G′) and loss modulus (G′′) of RSF solution, HSF solution, and HSF hydrogel (c). Maintenance of G′ and G′′ of HSF hydrogel under several shear-thinning processes (d). Evaluation of G′ and G′′ of HSF hydrogel during a resting procedure (e). Strain sweep evaluation from rheology, with the arrow implying the apparent yielding of HSF sol–gel transition (f). Sol–gel transition processes of the HSF hydrogel (g).","=HYPERLINK(""sem/10.1021_acsbiomaterials.9b01676\ab9b01676_0002.jpeg"",""sem/10.1021_acsbiomaterials.9b01676\ab9b01676_0002.jpeg"")"
https://pubs.acs.org/doi/10.1021/acsbiomaterials.9b01676,"Injectable, Thixotropic, and Multiresponsive Silk Fibroin Hydrogel for Localized and Synergistic Tumor Therapy","HSF, hydrogel, HSF, hydrogel, d","storage, elastic","Figure 5. Mechanism analysis of multiple stimuli-responsive properties of HSF hydrogel. Variations of the storage G′ (a) and the secondary structures (b) of HSF hydrogel during the multiple stimuli-responsive drug release process and the subsequent resting procedure in PBS (pH 7.4). Data are expressed as mean ± SEM (n = 3). Evaluation of the viscoelasticity (c), temperature changes (inside in c), and ROS generation (d) upon 808 nm laser irradiation for 10 min on the second day of the release procedure. Data are expressed as mean ± SEM (n = 3).","=HYPERLINK(""sem/10.1021_acsbiomaterials.9b01676\ab9b01676_0005.jpeg"",""sem/10.1021_acsbiomaterials.9b01676\ab9b01676_0005.jpeg"")"
https://pubs.acs.org/doi/10.1021/acsami.7b17907,Photothermal Nanocomposite Hydrogel Actuator with Electric-Field-Induced Gradient and Oriented Structure,"1, GO",shear,"  S-3   was prepared according to the above procedure except without DC electric field   applied.   Characterization   FT-IR spectra were collected on a Nicolet 6700 (Nicolet Co., USA) spectrometer by   dispersing completely dried samples in compressed KBr pellets. Pior to the   measurement, the hydrogel sample was swollen in deionized water for three days to   wash away soluble reagents, then air-dried and ground to powder. The range of   wavenumbers was from 400 to 4000 cm -1   at a spectral resolution of 2 cm -1  . The   viscosity was measured with rheometer DHR-1 (TA, USA) using a parallel plate of   diameter of 40 mm. The time sweep was performed over the range of 0~3600 s at   shear rate of 100 s -1  . All measurements were implemented at 25 o C. The   microstructures of freeze-dried hydrogels were observed by field emission scanning   electron microscopy (SEM, PhenonProX, Netherlands). To prepare freeze-dried   samples, the swollen hydrogels in deionized water were freeze-dried by a freeze drier   at -40 o C for 24 h. PNIPAm/GO hydrogels were immersed into a 10 mg/L rhodamine   6G (R6G) solution for 1 day at ambient temperature, and then rinsed with de-ionized   water. The cross sections of hydrogels were observed for fluorescence using a   confocal laser scanning microscope (CLSM, Leica, Germany). High Resolution   Transmission Electron Microscopy (HRTEM) was employed to study the dispersion   morphology of GO nanosheets in the PNIPAm/GO hydrogels. HRTEM overview   images were obtained on ZEISS Libra 200 FE (Zeiss, Germany) with an acceleration   voltage of 200 kV. HRTEM samples were prepared by dispersing the dried hydrogels    ","=HYPERLINK(""sem/10.1021_acsami.7b17907\supp_2.jpg"",""sem/10.1021_acsami.7b17907\supp_2.jpg"")"
https://pubs.acs.org/doi/10.1021/acsabm.8b00710,Injectable Nano Whitlockite Incorporated Chitosan Hydrogel for Effective Hemostasis,"4, 2, %, Ch, 2, %, Ch-4, %, nWH, 2, %, Ch-4, %, nWH, 2, %, Ch, C, 2, %, Ch-4, %, nWH, 2, %, Ch",shear,"Figure 4. Rheological properties of the developed 2%Ch and 2%Ch-4%nWH hydrogel systems, (A) Frequency sweep analysis of 2%Ch-4%nWH hydrogel and 2%Ch hydrogel representing G′ and δ. (B) Temperature stability study from 25 to 50 °C, representing G′ (red), G″ (blue) and δ (green). (C) Flow behavior with respect to shear rate of 2%Ch-4%nWH and 2%Ch hydrogel systems. (D) Injectablility study and (E) inversion test of the developed hydrogel systems. The dotted lines in (A) and (B) represents phase angle baseline to determine whether the tested material solid dominant or liquid dominant; values below baseline is solid-dominant and values above baseline is liquid dominant.","=HYPERLINK(""sem/10.1021_acsabm.8b00710\mt-2018-007108_0004.jpeg"",""sem/10.1021_acsabm.8b00710\mt-2018-007108_0004.jpeg"")"
https://pubs.acs.org/doi/10.1021/acsabm.8b00710,Injectable Nano Whitlockite Incorporated Chitosan Hydrogel for Effective Hemostasis,2,storage,"The storage modulus of 2%Ch hydrogel was found to be 10.46 ± 1.5 kPa, further on addition of nWH, the storage modulus had increased to 31.27 ± 0.77 kPa.",10.46±1.5kPa
https://pubs.acs.org/doi/10.1021/acsabm.8b00710,Injectable Nano Whitlockite Incorporated Chitosan Hydrogel for Effective Hemostasis,%,storage,"The storage modulus of 2%Ch hydrogel was found to be 10.46 ± 1.5 kPa, further on addition of nWH, the storage modulus had increased to 31.27 ± 0.77 kPa.",31.27±0.77kPa
